ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,Khoảng cách đường bộ
74000000,CN An Giang,105.4434611,10.3785683,74030000,PGD Long Xuyên,105.44075,10.3836111,0.6343106577980051,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,74031000,PGD Thoại Sơn,105.2696884,10.2680965,22.69725596519729,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,74032000,PGD Chợ Mới,105.4022986,10.5493152,18.89907078357412,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,74033000,PGD Châu Thành,105.3770658,10.4448318,9.739006424047092,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,74034000,PGD Châu Phú,105.241432,10.569769,30.05737478259483,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,74035000,PGD Phú Tân,105.3579385,10.582915,23.93992291123374,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,74036000,PGD Tri Tôn,105.0030916,10.4094099,47.95230879695655,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,74037000,PGD Phú Hòa,105.3746042,10.3582537,7.764936984563242,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,74200000,CN Châu Đốc,105.1179489,10.7098307,50.6063339524169,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,74230000,PGD An Phú,105.0899719,10.8164481,61.53299234595065,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,74231000,PGD Nam Châu Đốc,105.2105983,10.6153497,36.0164402299886,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,74232000,PGD Tịnh Biên,105.0038634,10.6226913,54.66521811986266,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,74233000,PGD Tân Châu,105.2448768,10.7992497,50.93473013680953,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,84000000,CN Kiên Giang,105.0875773,9.9924968,58.18358304625485,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,84030000,PGD Rạch Giá,105.0839699,10.0089592,57.0969129201226,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,84031000,PGD Rạch Sỏi,105.1213263,9.9547234,59.13177982927751,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,84032000,PGD Tân Hiệp,105.2806967,10.1125834,34.85605063727635,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,84033000,PGD Giồng Riềng,105.3174382,9.9095194,54.41702255167284,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,84034000,PGD Kiên Lương,104.6285444,10.2762592,89.64754883050638,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,84036000,PGD Hòn Đất,104.9376999,10.180722,59.48257010670483,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,84038000,PGD An Biên,105.0714125,9.8232959,74.27323497331632,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,84200000,CN Phú Quốc,103.9664061,10.2139343,162.3978115092592,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,84230000,PGD Nguyễn Trung Trực,103.9714212,10.2234812,161.7301491920186,An Giang,
74030000,PGD Long Xuyên,105.44075,10.3836111,84231000,PGD An Thới,104.0169107,10.028364,160.7472650731773,An Giang,
28000000,CN Bắc Giang,106.1939706,21.2783687,28234000,PGD Kinh Bắc,106.0736235,21.1892532,15.93047088165115,Bắc Ninh,
28000000,CN Bắc Giang,106.1939706,21.2783687,28430000,PGD KCN Bắc Từ Sơn,105.9509634,21.1303412,30.09238138546241,Bắc Ninh,
28030000,PGD Lạng Giang,106.2609426,21.3561754,28234000,PGD Kinh Bắc,106.0736235,21.1892532,26.85599528182628,Bắc Ninh,
28030000,PGD Lạng Giang,106.2609426,21.3561754,28430000,PGD KCN Bắc Từ Sơn,105.9509634,21.1303412,40.7758806405769,Bắc Ninh,
28031000,ĐĐKD PGD Tân Yên,106.126606,21.3880737,28234000,PGD Kinh Bắc,106.0736235,21.1892532,22.77914361512603,Bắc Ninh,
28031000,ĐĐKD PGD Tân Yên,106.126606,21.3880737,28430000,PGD KCN Bắc Từ Sơn,105.9509634,21.1303412,33.95005397774487,Bắc Ninh,
28033000,PGD Việt Yên,106.116974,21.26326,28234000,PGD Kinh Bắc,106.0736235,21.1892532,9.376004072751671,Bắc Ninh,
28033000,PGD Việt Yên,106.116974,21.26326,28430000,PGD KCN Bắc Từ Sơn,105.9509634,21.1303412,22.6859245166822,Bắc Ninh,
28034000,PGD Lục Nam,106.3890957,21.3066334,28234000,PGD Kinh Bắc,106.0736235,21.1892532,35.20328918610031,Bắc Ninh,
28034000,PGD Lục Nam,106.3890957,21.3066334,28430000,PGD KCN Bắc Từ Sơn,105.9509634,21.1303412,49.46533894176429,Bắc Ninh,
28035000,PGD Thành phố Bắc Giang,106.2075343,21.283698,28234000,PGD Kinh Bắc,106.0736235,21.1892532,17.40447152962689,Bắc Ninh,
28035000,PGD Thành phố Bắc Giang,106.2075343,21.283698,28430000,PGD KCN Bắc Từ Sơn,105.9509634,21.1303412,31.59440426586637,Bắc Ninh,
28036000,PGD Chũ,106.580765,21.377831,28234000,PGD Kinh Bắc,106.0736235,21.1892532,56.57480149880262,Bắc Ninh,
28036000,PGD Chũ,106.580765,21.377831,28430000,PGD KCN Bắc Từ Sơn,105.9509634,21.1303412,70.83181677140232,Bắc Ninh,
28038000,PGD Hiệp Hòa,105.9817087,21.353779,28234000,PGD Kinh Bắc,106.0736235,21.1892532,20.62512536675034,Bắc Ninh,
28038000,PGD Hiệp Hòa,105.9817087,21.353779,28430000,PGD KCN Bắc Từ Sơn,105.9509634,21.1303412,25.04865051782043,Bắc Ninh,
28039000,ĐĐKD PGD Yên Dũng,106.240501,21.197763,28234000,PGD Kinh Bắc,106.0736235,21.1892532,17.32675329324238,Bắc Ninh,
28039000,ĐĐKD PGD Yên Dũng,106.240501,21.197763,28430000,PGD KCN Bắc Từ Sơn,105.9509634,21.1303412,30.94541455677847,Bắc Ninh,
28200000,CN Bắc Ninh,106.0693617,21.18229,28234000,PGD Kinh Bắc,106.0736235,21.1892532,0.8914818708466054,Bắc Ninh,
28200000,CN Bắc Ninh,106.0693617,21.18229,28430000,PGD KCN Bắc Từ Sơn,105.9509634,21.1303412,13.56890111138251,Bắc Ninh,
28230000,PGD Quế Võ,106.1505394,21.1533581,28234000,PGD Kinh Bắc,106.0736235,21.1892532,8.918397318421254,Bắc Ninh,
28230000,PGD Quế Võ,106.1505394,21.1533581,28430000,PGD KCN Bắc Từ Sơn,105.9509634,21.1303412,20.85574683662217,Bắc Ninh,
28232000,PGD Lương Tài,106.2022067,21.0183574,28234000,PGD Kinh Bắc,106.0736235,21.1892532,23.21699429450931,Bắc Ninh,
28232000,PGD Lương Tài,106.2022067,21.0183574,28430000,PGD KCN Bắc Từ Sơn,105.9509634,21.1303412,28.88969224432732,Bắc Ninh,
28234000,PGD Kinh Bắc,106.0736235,21.1892532,28236000,PGD Gia Bình,106.1735679,21.0525084,18.40302393199412,Bắc Ninh,
28234000,PGD Kinh Bắc,106.0736235,21.1892532,28238000,PGD Thuận Thành,106.08844,21.0592834,14.53346385792358,Bắc Ninh,
