global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,source_output_file,source_kind,crawl_status
18502,18504,64000000,CN Bình Dương,106.6670338,10.982933,88033000,PGD Côn Đảo,106.6089687,8.6832379,255.79389094636,TP. Hồ Chí Minh,186,2,Không tìm thấy,part/output_part_911/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
18640,18642,64030000,PGD Lái Thiêu,106.7037247,10.9113847,88033000,PGD Côn Đảo,106.6089687,8.6832379,247.976389548316,TP. Hồ Chí Minh,187,40,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20100,20102,88033000,PGD Côn Đảo,106.6089687,8.6832379,90032000,PGD Trường Sơn,106.6641996,10.8051895,236.0281917971901,TP. Hồ Chí Minh,202,0,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20101,20103,88033000,PGD Côn Đảo,106.6089687,8.6832379,90037000,PGD Thành Thái,106.664006,10.7750228,232.6743785377157,TP. Hồ Chí Minh,202,1,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20102,20104,88033000,PGD Côn Đảo,106.6089687,8.6832379,90039000,PGD An Đông,106.6728395,10.7574677,230.7503409879967,TP. Hồ Chí Minh,202,2,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20103,20105,88033000,PGD Côn Đảo,106.6089687,8.6832379,90042000,PGD Hiệp Bình Phước,106.7247173,10.8631262,242.724444110778,TP. Hồ Chí Minh,202,3,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20104,20106,88033000,PGD Côn Đảo,106.6089687,8.6832379,90043000,PGD Đinh Tiên Hoàng,106.6958903,10.7915621,234.6287142629182,TP. Hồ Chí Minh,202,4,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20105,20107,88033000,PGD Côn Đảo,106.6089687,8.6832379,90100000,CN Đông Thành phố Hồ Chí Minh,106.7458566,10.8818676,244.9364748608153,TP. Hồ Chí Minh,202,5,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20106,20108,88033000,PGD Côn Đảo,106.6089687,8.6832379,90130000,PGD An Phú,106.7423901,10.9494629,252.4166806682699,TP. Hồ Chí Minh,202,6,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20107,20109,88033000,PGD Côn Đảo,106.6089687,8.6832379,90131000,PGD Thuận An,106.7161132,10.9005291,246.8312050384652,TP. Hồ Chí Minh,202,7,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20108,20110,88033000,PGD Côn Đảo,106.6089687,8.6832379,90132000,PGD Thủ Dầu Một,106.6717412,10.9751902,254.9465887339378,TP. Hồ Chí Minh,202,8,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20109,20111,88033000,PGD Côn Đảo,106.6089687,8.6832379,90133000,PGD An Bình,106.7684689,10.894937,246.5502230046704,TP. Hồ Chí Minh,202,9,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20110,20112,88033000,PGD Côn Đảo,106.6089687,8.6832379,90134000,PGD Đồng An,106.6795064,11.0474348,263.0005948479221,TP. Hồ Chí Minh,202,10,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20111,20113,88033000,PGD Côn Đảo,106.6089687,8.6832379,90135000,PGD Thuận Giao,106.7227778,10.9482778,252.1697520725499,TP. Hồ Chí Minh,202,11,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20112,20114,88033000,PGD Côn Đảo,106.6089687,8.6832379,90136000,PGD Đông Hòa,106.7898486,10.8924574,246.4525136040407,TP. Hồ Chí Minh,202,12,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20113,20115,88033000,PGD Côn Đảo,106.6089687,8.6832379,90137000,PGD Long Bình,106.8237366,10.8413876,241.1268189248531,TP. Hồ Chí Minh,202,13,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20114,20116,88033000,PGD Côn Đảo,106.6089687,8.6832379,90200000,CN 1 Thành phố Hồ Chí Minh,106.701474,10.7706429,232.3304481568336,TP. Hồ Chí Minh,202,14,Không tìm thấy,part/df_part_912.pkl,retry_pkl_manual_or_prefilled,not_found_or_error
20115,20117,88033000,PGD Côn Đảo,106.6089687,8.6832379,90233000,PGD Sala,106.7243851,10.769637,232.3418576707121,TP. Hồ Chí Minh,202,15,Không tìm thấy,part/output_part_912/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
20116,20118,88033000,PGD Côn Đảo,106.6089687,8.6832379,90235000,PGD Trần Hưng Đạo,106.6935312,10.7656379,231.7380097435666,TP. Hồ Chí Minh,202,16,Không tìm thấy,part/output_part_912/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
20117,20119,88033000,PGD Côn Đảo,106.6089687,8.6832379,90236000,PGD Đakao,106.6972065,10.7927265,234.7639791558651,TP. Hồ Chí Minh,202,17,Không tìm thấy,part/output_part_912/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
20118,20120,88033000,PGD Côn Đảo,106.6089687,8.6832379,90237000,PGD Gò Dầu,106.626816,10.795744,234.9084272927194,TP. Hồ Chí Minh,202,18,Không tìm thấy,part/output_part_912/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
20119,20121,88033000,PGD Côn Đảo,106.6089687,8.6832379,90300000,CN Thủ Thiêm,106.7293726,10.7875464,234.3604845263057,TP. Hồ Chí Minh,202,19,Không tìm thấy,part/output_part_912/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
20120,20122,88033000,PGD Côn Đảo,106.6089687,8.6832379,90330000,PGD An Phú,106.7385273,10.7978598,235.5637981599297,TP. Hồ Chí Minh,202,20,Không tìm thấy,part/output_part_912/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
20121,20123,88033000,PGD Côn Đảo,106.6089687,8.6832379,90331000,PGD Bình Trưng Tây,106.7566664,10.788686,234.6743091182723,TP. Hồ Chí Minh,202,21,Không tìm thấy,part/output_part_912/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
20122,20124,88033000,PGD Côn Đảo,106.6089687,8.6832379,90332000,PGD Thảo Điền,106.7360342,10.8052701,236.370032917323,TP. Hồ Chí Minh,202,22,Không tìm thấy,part/output_part_912/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
20123,20125,88033000,PGD Côn Đảo,106.6089687,8.6832379,90333000,PGD Vạn Phúc,106.7136198,10.8438678,240.5249337293275,TP. Hồ Chí Minh,202,23,Không tìm thấy,part/output_part_912/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
20124,20126,88033000,PGD Côn Đảo,106.6089687,8.6832379,90334000,PGD Vinhomes Tân Cảng,106.7210417,10.7941608,235.0453312955479,TP. Hồ Chí Minh,202,24,Không tìm thấy,part/output_part_912/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
20125,20127,88033000,PGD Côn Đảo,106.6089687,8.6832379,90400000,CN 2 Thành phố Hồ Chí Minh,106.682211,10.7959893,235.0646308608285,TP. Hồ Chí Minh,202,25,Không tìm thấy,part/output_part_912/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
20126,20128,88033000,PGD Côn Đảo,106.6089687,8.6832379,90431000,PGD Phú Nhuận,106.680485,10.799081,235.4018382220236,TP. Hồ Chí Minh,202,26,Không tìm thấy,part/output_part_912/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
20127,20129,88033000,PGD Côn Đảo,106.6089687,8.6832379,90433000,PGD Nguyễn Văn Lượng,106.6676389,10.8384167,239.7314995749209,TP. Hồ Chí Minh,202,27,Không tìm thấy,part/output_part_912/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
20128,20130,88033000,PGD Côn Đảo,106.6089687,8.6832379,90434000,PGD Thái Sơn,106.687313,10.824671,238.2715367022018,TP. Hồ Chí Minh,202,28,Không tìm thấy,part/output_part_912/ket_qua_tu_0_den_99.xlsx,retry_output,not_found_or_error
