global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status
0,2,74000000,CN An Giang,105.4434611,10.3785683,74030000,PGD Long Xuyên,105.44075,10.3836111,0.6343115339452015,An Giang,1,0,"3 min
900 m",0.9,3 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
1,3,74000000,CN An Giang,105.4434611,10.3785683,74031000,PGD Thoại Sơn,105.2696884,10.2680965,22.63338215203785,An Giang,1,1,"36 min
24.6 km",24.6,36 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
2,4,74000000,CN An Giang,105.4434611,10.3785683,74032000,PGD Chợ Mới,105.4022986,10.5493152,19.51242903084497,An Giang,1,2,26.9 km,26.9,58 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,recrawled_ok
3,5,74000000,CN An Giang,105.4434611,10.3785683,74033000,PGD Châu Thành,105.3770658,10.4448318,10.34485532922335,An Giang,1,3,"18 min
11.0 km",11.0,18 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
4,6,74000000,CN An Giang,105.4434611,10.3785683,74034000,PGD Châu Phú,105.241432,10.569769,30.65931425525983,An Giang,1,4,"46 min
33.7 km",33.7,46 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
5,7,74000000,CN An Giang,105.4434611,10.3785683,74035000,PGD Phú Tân,105.3579385,10.582915,24.57125989668228,An Giang,1,5,"1 hr 8 min
33.8 km",33.8,1 hr 8 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
6,8,74000000,CN An Giang,105.4434611,10.3785683,74036000,PGD Tri Tôn,105.0030916,10.4094099,48.28533060530989,An Giang,1,6,"1 hr 15 min
54.1 km",54.1,1 hr 15 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
7,9,74000000,CN An Giang,105.4434611,10.3785683,74037000,PGD Phú Hòa,105.3746042,10.3582537,7.862976626501979,An Giang,1,7,"16 min
8.5 km",8.5,16 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
8,10,74000000,CN An Giang,105.4434611,10.3785683,74200000,CN Châu Đốc,105.1179489,10.7098307,51.21549859978624,An Giang,1,8,"1 hr 16 min
55.8 km",55.8,1 hr 16 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
9,11,74000000,CN An Giang,105.4434611,10.3785683,74230000,PGD An Phú,105.0899719,10.8164481,62.15659870527668,An Giang,1,9,"1 hr 36 min
70.0 km",70.0,1 hr 36 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
10,12,74000000,CN An Giang,105.4434611,10.3785683,74231000,PGD Nam Châu Đốc,105.2105983,10.6153497,36.6253466910538,An Giang,1,10,"55 min
40.0 km",40.0,55 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
11,13,74000000,CN An Giang,105.4434611,10.3785683,74232000,PGD Tịnh Biên,105.0038634,10.6226913,55.19840828455256,An Giang,1,11,"1 hr 35 min
70.7 km",70.7,1 hr 35 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
12,14,74000000,CN An Giang,105.4434611,10.3785683,74233000,PGD Tân Châu,105.2448768,10.7992497,51.56823390398151,An Giang,1,12,"1 hr 33 min
72.0 km",72.0,1 hr 33 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
13,15,74000000,CN An Giang,105.4434611,10.3785683,84000000,CN Kiên Giang,105.0875773,9.9924968,57.96489571546702,An Giang,1,13,"1 hr 21 min
75.5 km",75.5,1 hr 21 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
14,16,74000000,CN An Giang,105.4434611,10.3785683,84030000,PGD Rạch Giá,105.0839699,10.0089592,56.89414205365983,An Giang,1,14,"1 hr 21 min
75.6 km",75.6,1 hr 21 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
15,17,74000000,CN An Giang,105.4434611,10.3785683,84031000,PGD Rạch Sỏi,105.1213263,9.9547234,58.85799301270027,An Giang,1,15,"1 hr 13 min
70.4 km",70.4,1 hr 13 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
16,18,74000000,CN An Giang,105.4434611,10.3785683,84032000,PGD Tân Hiệp,105.2806967,10.1125834,34.52460123120167,An Giang,1,16,"55 min
41.3 km",41.3,55 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
17,19,74000000,CN An Giang,105.4434611,10.3785683,84033000,PGD Giồng Riềng,105.3174382,9.9095194,53.94920170002956,An Giang,1,17,"1 hr 28 min
72.0 km",72.0,1 hr 28 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok
