tinh_thanh,total_rows,consistent_count,watch_count,suspect_changed_count,new_missing_count,high_count,medium_count,high_rate,avg_distance_change_pct,median_distance_change_pct,max_distance_change_pct
TP. Hồ Chí Minh,9730,5359,1110,3122,63,3185,1186,0.3273,0.5601,0.1026,176.8182
TP. Hà Nội,11476,8364,1243,1869,0,1869,1243,0.1629,0.2545,0.0438,77.4
TP. Hải Phòng,1326,191,132,1003,0,1003,132,0.7564,2.1438,0.6721,148.6667
Phú Thọ,1326,1252,37,37,0,37,37,0.0279,0.0454,0.0,6.7778
Bắc Ninh,561,504,24,33,0,33,24,0.0588,0.1263,0.0035,15.2667
Thái Nguyên,325,286,12,27,0,27,12,0.0831,0.071,0.0,0.7923
Vĩnh Long,231,210,10,11,0,11,10,0.0476,0.0594,0.0,1.4972
Ninh Bình,595,569,16,10,0,10,16,0.0168,0.0269,0.0021,0.5571
Quảng Ngãi,105,98,0,7,0,7,0,0.0667,1.6402,0.0052,61.4615
TP. Đà Nẵng,435,396,35,4,0,4,35,0.0092,0.0355,0.002,0.619
Quảng Ninh,630,618,8,4,0,4,8,0.0063,0.017,0.0,0.3758
Lạng Sơn,21,18,1,2,0,2,1,0.0952,0.0496,0.0,0.5089
An Giang,300,293,5,2,0,2,5,0.0067,0.0237,0.0024,0.3664
Đồng Nai,300,297,1,2,0,2,1,0.0067,0.0158,0.0029,0.4455
Nghệ An,496,467,27,2,0,2,27,0.004,0.0274,0.0018,0.375
Đắk Lắk,120,116,3,1,0,1,3,0.0083,0.0157,0.0,0.3424
Hưng Yên,325,319,5,1,0,1,5,0.0031,0.0253,0.0088,0.5
Đồng Tháp,325,320,4,1,0,1,4,0.0031,0.0115,0.0,0.6306
Lâm Đồng,351,342,8,1,0,1,8,0.0028,0.0231,0.0046,0.3064
Cao Bằng,6,6,0,0,0,0,0,0.0,0.0026,0.0,0.0155
Cà Mau,66,66,0,0,0,0,0,0.0,0.011,0.0,0.1477
Gia Lai,325,321,4,0,0,0,4,0.0,0.0136,0.0067,0.2306
Huế,66,63,3,0,0,0,3,0.0,0.016,0.0,0.2222
Hà Tĩnh,28,27,1,0,0,0,1,0.0,0.019,0.0013,0.2808
Khánh Hoà,66,65,1,0,0,0,1,0.0,0.0188,0.0,0.1861
Lai Châu,6,6,0,0,0,0,0,0.0,0.0009,0.0006,0.0033
Lào Cai,66,65,1,0,0,0,1,0.0,0.0067,0.0,0.1622
Quảng Trị,91,90,1,0,0,0,1,0.0,0.0244,0.0,0.2438
Sơn La,6,6,0,0,0,0,0,0.0,0.0,0.0,0.0
TP. Cần Thơ,253,251,2,0,0,0,2,0.0,0.0126,0.0,0.1764
Thanh Hoá,300,292,8,0,0,0,8,0.0,0.0198,0.0,0.2424
Tuyên Quang,105,105,0,0,0,0,0,0.0,0.0036,0.0,0.1136
Tây Ninh,378,373,5,0,0,0,5,0.0,0.0132,0.0063,0.2268
Điện Biên,10,10,0,0,0,0,0,0.0,0.0264,0.006,0.1071
