global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority
0,2,74000000,CN An Giang,105.4434611,10.3785683,74030000,PGD Long Xuyên,105.44075,10.3836111,0.6343115339452015,An Giang,1,0,"3 min
900 m",0.9,3 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__74030000,74000000__74030000,"10.37857,105.44346__10.38361,105.44075","10.37857,105.44346__10.38361,105.44075",directed_pair_key_by_code,0.9,0.9,,3 min,,1.4189,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
1,3,74000000,CN An Giang,105.4434611,10.3785683,74031000,PGD Thoại Sơn,105.2696884,10.2680965,22.63338215203785,An Giang,1,1,"36 min
24.6 km",24.6,36 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__74031000,74000000__74031000,"10.37857,105.44346__10.26810,105.26969","10.26810,105.26969__10.37857,105.44346",directed_pair_key_by_code,24.6,24.6,,36 min,,1.0869,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
2,4,74000000,CN An Giang,105.4434611,10.3785683,74032000,PGD Chợ Mới,105.4022986,10.5493152,19.51242903084497,An Giang,1,2,"53 min
26.9 km",26.9,53 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__74032000,74000000__74032000,"10.37857,105.44346__10.54932,105.40230","10.37857,105.44346__10.54932,105.40230",directed_pair_key_by_code,33.5,26.9,,53 min,,1.3786,-6.6,6.6,0.197,WATCH_CHANGED,MEDIUM
3,5,74000000,CN An Giang,105.4434611,10.3785683,74033000,PGD Châu Thành,105.3770658,10.4448318,10.34485532922335,An Giang,1,3,"18 min
11.0 km",11.0,18 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__74033000,74000000__74033000,"10.37857,105.44346__10.44483,105.37707","10.37857,105.44346__10.44483,105.37707",directed_pair_key_by_code,11.0,11.0,,18 min,,1.0633,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
4,6,74000000,CN An Giang,105.4434611,10.3785683,74034000,PGD Châu Phú,105.241432,10.569769,30.65931425525983,An Giang,1,4,"46 min
33.7 km",33.7,46 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__74034000,74000000__74034000,"10.37857,105.44346__10.56977,105.24143","10.37857,105.44346__10.56977,105.24143",directed_pair_key_by_code,33.7,33.7,,46 min,,1.0992,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
5,7,74000000,CN An Giang,105.4434611,10.3785683,74035000,PGD Phú Tân,105.3579385,10.582915,24.57125989668228,An Giang,1,5,"1 hr 8 min
33.8 km",33.8,1 hr 8 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__74035000,74000000__74035000,"10.37857,105.44346__10.58291,105.35794","10.37857,105.44346__10.58291,105.35794",directed_pair_key_by_code,37.3,33.8,,1 hr 8 min,,1.3756,-3.5,3.5,0.0938,CONSISTENT_WITH_OLD,LOW
6,8,74000000,CN An Giang,105.4434611,10.3785683,74036000,PGD Tri Tôn,105.0030916,10.4094099,48.28533060530989,An Giang,1,6,"1 hr 15 min
54.1 km",54.1,1 hr 15 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__74036000,74000000__74036000,"10.37857,105.44346__10.40941,105.00309","10.37857,105.44346__10.40941,105.00309",directed_pair_key_by_code,54.1,54.1,,1 hr 15 min,,1.1204,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
7,9,74000000,CN An Giang,105.4434611,10.3785683,74037000,PGD Phú Hòa,105.3746042,10.3582537,7.862976626501979,An Giang,1,7,"16 min
8.5 km",8.5,16 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__74037000,74000000__74037000,"10.37857,105.44346__10.35825,105.37460","10.35825,105.37460__10.37857,105.44346",directed_pair_key_by_code,8.5,8.5,,16 min,,1.081,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
8,10,74000000,CN An Giang,105.4434611,10.3785683,74200000,CN Châu Đốc,105.1179489,10.7098307,51.21549859978624,An Giang,1,8,"1 hr 16 min
55.8 km",55.8,1 hr 16 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__74200000,74000000__74200000,"10.37857,105.44346__10.70983,105.11795","10.37857,105.44346__10.70983,105.11795",directed_pair_key_by_code,55.8,55.8,,1 hr 16 min,,1.0895,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
9,11,74000000,CN An Giang,105.4434611,10.3785683,74230000,PGD An Phú,105.0899719,10.8164481,62.15659870527668,An Giang,1,9,"1 hr 36 min
70.0 km",70.0,1 hr 36 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__74230000,74000000__74230000,"10.37857,105.44346__10.81645,105.08997","10.37857,105.44346__10.81645,105.08997",directed_pair_key_by_code,70.2,70.0,,1 hr 36 min,,1.1262,-0.2,0.2,0.0028,CONSISTENT_WITH_OLD,LOW
10,12,74000000,CN An Giang,105.4434611,10.3785683,74231000,PGD Nam Châu Đốc,105.2105983,10.6153497,36.6253466910538,An Giang,1,10,"55 min
40.0 km",40.0,55 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__74231000,74000000__74231000,"10.37857,105.44346__10.61535,105.21060","10.37857,105.44346__10.61535,105.21060",directed_pair_key_by_code,39.8,40.0,,55 min,,1.0921,0.2,0.2,0.005,CONSISTENT_WITH_OLD,LOW
11,13,74000000,CN An Giang,105.4434611,10.3785683,74232000,PGD Tịnh Biên,105.0038634,10.6226913,55.19840828455256,An Giang,1,11,"1 hr 35 min
70.7 km",70.7,1 hr 35 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__74232000,74000000__74232000,"10.37857,105.44346__10.62269,105.00386","10.37857,105.44346__10.62269,105.00386",directed_pair_key_by_code,70.7,70.7,,1 hr 35 min,,1.2808,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
12,14,74000000,CN An Giang,105.4434611,10.3785683,74233000,PGD Tân Châu,105.2448768,10.7992497,51.56823390398151,An Giang,1,12,"1 hr 33 min
72.0 km",72.0,1 hr 33 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__74233000,74000000__74233000,"10.37857,105.44346__10.79925,105.24488","10.37857,105.44346__10.79925,105.24488",directed_pair_key_by_code,70.1,72.0,,1 hr 33 min,,1.3962,1.9,1.9,0.0271,CONSISTENT_WITH_OLD,LOW
13,15,74000000,CN An Giang,105.4434611,10.3785683,84000000,CN Kiên Giang,105.0875773,9.9924968,57.96489571546702,An Giang,1,13,"1 hr 21 min
75.5 km",75.5,1 hr 21 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__84000000,74000000__84000000,"10.37857,105.44346__9.99250,105.08758","10.37857,105.44346__9.99250,105.08758",directed_pair_key_by_code,72.5,75.5,,1 hr 21 min,,1.3025,3.0,3.0,0.0414,CONSISTENT_WITH_OLD,LOW
14,16,74000000,CN An Giang,105.4434611,10.3785683,84030000,PGD Rạch Giá,105.0839699,10.0089592,56.89414205365983,An Giang,1,14,"1 hr 21 min
75.6 km",75.6,1 hr 21 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__84030000,74000000__84030000,"10.37857,105.44346__10.00896,105.08397","10.00896,105.08397__10.37857,105.44346",directed_pair_key_by_code,72.7,75.6,,1 hr 21 min,,1.3288,2.9,2.9,0.0399,CONSISTENT_WITH_OLD,LOW
15,17,74000000,CN An Giang,105.4434611,10.3785683,84031000,PGD Rạch Sỏi,105.1213263,9.9547234,58.85799301270027,An Giang,1,15,"1 hr 13 min
70.4 km",70.4,1 hr 13 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__84031000,74000000__84031000,"10.37857,105.44346__9.95472,105.12133","10.37857,105.44346__9.95472,105.12133",directed_pair_key_by_code,66.3,70.4,,1 hr 13 min,,1.1961,4.1,4.1,0.0618,CONSISTENT_WITH_OLD,LOW
16,18,74000000,CN An Giang,105.4434611,10.3785683,84032000,PGD Tân Hiệp,105.2806967,10.1125834,34.52460123120167,An Giang,1,16,"55 min
41.3 km",41.3,55 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__84032000,74000000__84032000,"10.37857,105.44346__10.11258,105.28070","10.11258,105.28070__10.37857,105.44346",directed_pair_key_by_code,41.3,41.3,,55 min,,1.1962,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
17,19,74000000,CN An Giang,105.4434611,10.3785683,84033000,PGD Giồng Riềng,105.3174382,9.9095194,53.94920170002956,An Giang,1,17,"1 hr 28 min
72.0 km",72.0,1 hr 28 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__84033000,74000000__84033000,"10.37857,105.44346__9.90952,105.31744","10.37857,105.44346__9.90952,105.31744",directed_pair_key_by_code,63.8,72.0,,1 hr 28 min,,1.3346,8.2,8.2,0.1285,CONSISTENT_WITH_OLD,LOW
18,20,74000000,CN An Giang,105.4434611,10.3785683,84034000,PGD Kiên Lương,104.6285444,10.2762592,89.86962355833123,An Giang,1,18,"2 hr 20 min
106 km",106.0,2 hr 20 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__84034000,74000000__84034000,"10.37857,105.44346__10.27626,104.62854","10.27626,104.62854__10.37857,105.44346",directed_pair_key_by_code,106.0,106.0,,2 hr 20 min,,1.1795,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
19,21,74000000,CN An Giang,105.4434611,10.3785683,84036000,PGD Hòn Đất,104.9376999,10.180722,59.54819584897723,An Giang,1,19,"1 hr 44 min
72.7 km",72.7,1 hr 44 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__84036000,74000000__84036000,"10.37857,105.44346__10.18072,104.93770","10.18072,104.93770__10.37857,105.44346",directed_pair_key_by_code,78.3,72.7,,1 hr 44 min,,1.2209,-5.6,5.6,0.0715,CONSISTENT_WITH_OLD,LOW
20,22,74000000,CN An Giang,105.4434611,10.3785683,84038000,PGD An Biên,105.0714125,9.8232959,73.9667763058527,An Giang,1,20,"1 hr 35 min
87.2 km",87.2,1 hr 35 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__84038000,74000000__84038000,"10.37857,105.44346__9.82330,105.07141","10.37857,105.44346__9.82330,105.07141",directed_pair_key_by_code,87.0,87.2,,1 hr 35 min,,1.1789,0.2,0.2,0.0023,CONSISTENT_WITH_OLD,LOW
21,23,74000000,CN An Giang,105.4434611,10.3785683,84200000,CN Phú Quốc,103.9664061,10.2139343,162.6298479547113,An Giang,1,21,"6 hr 15 min
211 km",211.0,6 hr 15 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__84200000,74000000__84200000,"10.37857,105.44346__10.21393,103.96641","10.21393,103.96641__10.37857,105.44346",directed_pair_key_by_code,211.0,211.0,,6 hr 15 min,,1.2974,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
22,24,74000000,CN An Giang,105.4434611,10.3785683,84230000,PGD Nguyễn Trung Trực,103.9714212,10.2234812,161.9657934851208,An Giang,1,22,"6 hr 13 min
212 km",212.0,6 hr 13 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__84230000,74000000__84230000,"10.37857,105.44346__10.22348,103.97142","10.22348,103.97142__10.37857,105.44346",directed_pair_key_by_code,212.0,212.0,,6 hr 13 min,,1.3089,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
23,25,74000000,CN An Giang,105.4434611,10.3785683,84231000,PGD An Thới,104.0169107,10.028364,160.8996740334324,An Giang,1,23,"6 hr 24 min
220 km",220.0,6 hr 24 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__84231000,74000000__84231000,"10.37857,105.44346__10.02836,104.01691","10.02836,104.01691__10.37857,105.44346",directed_pair_key_by_code,220.0,220.0,,6 hr 24 min,,1.3673,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
24,26,74030000,PGD Long Xuyên,105.44075,10.3836111,74031000,PGD Thoại Sơn,105.2696884,10.2680965,22.69728731598248,An Giang,1,24,"35 min
24.6 km",24.6,35 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74030000__74031000,74030000__74031000,"10.38361,105.44075__10.26810,105.26969","10.26810,105.26969__10.38361,105.44075",directed_pair_key_by_code,24.6,24.6,,35 min,,1.0838,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
25,27,74030000,PGD Long Xuyên,105.44075,10.3836111,74032000,PGD Chợ Mới,105.4022986,10.5493152,18.8990968880825,An Giang,1,25,"56 min
27.4 km",27.4,56 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74030000__74032000,74030000__74032000,"10.38361,105.44075__10.54932,105.40230","10.38361,105.44075__10.54932,105.40230",directed_pair_key_by_code,27.4,27.4,,56 min,,1.4498,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
26,28,74030000,PGD Long Xuyên,105.44075,10.3836111,74033000,PGD Châu Thành,105.3770658,10.4448318,9.7390198761357,An Giang,1,26,"16 min
10.5 km",10.5,16 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74030000__74033000,74030000__74033000,"10.38361,105.44075__10.44483,105.37707","10.38361,105.44075__10.44483,105.37707",directed_pair_key_by_code,10.5,10.5,,16 min,,1.0781,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
27,29,74030000,PGD Long Xuyên,105.44075,10.3836111,74034000,PGD Châu Phú,105.241432,10.569769,30.05741629960912,An Giang,1,27,"45 min
33.2 km",33.2,45 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74030000__74034000,74030000__74034000,"10.38361,105.44075__10.56977,105.24143","10.38361,105.44075__10.56977,105.24143",directed_pair_key_by_code,33.2,33.2,,45 min,,1.1046,0.0,0.0,0.0,CONSISTENT_WITH_OLD,LOW
