ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,Khoảng cách đường bộ km,khoang_cach_chim_bay_km,tinh_thanh_sau_sap_nhap,tinh_thanh,khoang_cach_chim_bay,Khoảng cách đường bộ,thời gian,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord
94733000,PGD Võ Văn Ngân,106.7723024,10.8518047,94730000,PGD Hiệp Phú,106.7819475,10.8443244,2.6,1.342135559956179,TP. Hồ Chí Minh,,,,,94733000__94730000,94730000__94733000,"10.85180,106.77230__10.84432,106.78195","10.84432,106.78195__10.85180,106.77230"
94733000,PGD Võ Văn Ngân,106.7723024,10.8518047,94731000,PGD METRO,106.7414503,10.8007134,7.7,6.605194820010041,TP. Hồ Chí Minh,,,,,94733000__94731000,94731000__94733000,"10.85180,106.77230__10.80071,106.74145","10.80071,106.74145__10.85180,106.77230"
94030000,PGD Lý Thường Kiệt,106.6576503,10.7716481,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,3.7,2.66245997584298,TP. Hồ Chí Minh,,,,,94030000__90600000,90600000__94030000,"10.77165,106.65765__10.76976,106.68195","10.76976,106.68195__10.77165,106.65765"
94031000,PGD Ngô Gia Tự,106.6748391,10.7670545,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,2.0,0.832554369510724,TP. Hồ Chí Minh,,,,,94031000__90600000,90600000__94031000,"10.76705,106.67484__10.76976,106.68195","10.76705,106.67484__10.76976,106.68195"
94032000,PGD Ngô Quyền,106.664916,10.7625387,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,2.4,2.026161999308036,TP. Hồ Chí Minh,,,,,94032000__90600000,90600000__94032000,"10.76254,106.66492__10.76976,106.68195","10.76254,106.66492__10.76976,106.68195"
94033000,PGD Tô Hiến Thành,106.6680151,10.7796478,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,3.6,1.877803011813551,TP. Hồ Chí Minh,,,,,94033000__90600000,90600000__94033000,"10.77965,106.66802__10.76976,106.68195","10.76976,106.68195__10.77965,106.66802"
94200000,CN 11 Thành phố Hồ Chí Minh,106.6474356,10.7568213,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,5.5,4.035046270831279,TP. Hồ Chí Minh,,,,,94200000__90600000,90600000__94200000,"10.75682,106.64744__10.76976,106.68195","10.75682,106.64744__10.76976,106.68195"
94230000,PGD Nguyễn Sơn,106.6259453,10.7820436,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,8.2,6.268092868738117,TP. Hồ Chí Minh,,,,,94230000__90600000,90600000__94230000,"10.78204,106.62595__10.76976,106.68195","10.76976,106.68195__10.78204,106.62595"
94231000,PGD Tên Lửa,106.61129,10.75028,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,9.7,8.016652082665471,TP. Hồ Chí Minh,,,,,94231000__90600000,90600000__94231000,"10.75028,106.61129__10.76976,106.68195","10.75028,106.61129__10.76976,106.68195"
94233000,PGD Trương Vĩnh Ký,106.6339046,10.7932417,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,7.9,5.861732581195452,TP. Hồ Chí Minh,,,,,94233000__90600000,90600000__94233000,"10.79324,106.63390__10.76976,106.68195","10.76976,106.68195__10.79324,106.63390"
94234000,PGD Lãnh Binh Thăng,106.6486194,10.7644474,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,4.2,3.688204711102186,TP. Hồ Chí Minh,,,,,94234000__90600000,90600000__94234000,"10.76445,106.64862__10.76976,106.68195","10.76445,106.64862__10.76976,106.68195"
94400000,CN 12 Thành phố Hồ Chí Minh,106.6409777,10.7996853,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,8.0,5.577012678613692,TP. Hồ Chí Minh,,,,,94400000__90600000,90600000__94400000,"10.79969,106.64098__10.76976,106.68195","10.76976,106.68195__10.79969,106.64098"
94433000,PGD Phan Huy Ích,106.6323083,10.828896,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,11.5,8.523041477010942,TP. Hồ Chí Minh,,,,,94433000__90600000,90600000__94433000,"10.82890,106.63231__10.76976,106.68195","10.76976,106.68195__10.82890,106.63231"
94434000,PGD Phan Văn Hớn,106.6173015,10.8288293,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,14.6,9.643949408523628,TP. Hồ Chí Minh,,,,,94434000__90600000,90600000__94434000,"10.82883,106.61730__10.76976,106.68195","10.76976,106.68195__10.82883,106.61730"
94436000,PGD Lê Trọng Tấn,106.609662,10.8119453,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,11.9,9.184204331223253,TP. Hồ Chí Minh,,,,,94436000__90600000,90600000__94436000,"10.81195,106.60966__10.76976,106.68195","10.76976,106.68195__10.81195,106.60966"
94500000,CN Tân Bình,106.6531502,10.8010574,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,6.9,4.691397818277817,TP. Hồ Chí Minh,,,,,94500000__90600000,90600000__94500000,"10.80106,106.65315__10.76976,106.68195","10.76976,106.68195__10.80106,106.65315"
94530000,PGD Chợ Tân Bình,106.653496,10.7869763,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,5.0,3.650407866942258,TP. Hồ Chí Minh,,,,,94530000__90600000,90600000__94530000,"10.78698,106.65350__10.76976,106.68195","10.76976,106.68195__10.78698,106.65350"
94531000,PGD Hóc Môn,106.5932327,10.8876665,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,19.6,16.30268783030849,TP. Hồ Chí Minh,,,,,94531000__90600000,90600000__94531000,"10.88767,106.59323__10.76976,106.68195","10.76976,106.68195__10.88767,106.59323"
