global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority
69,71,74032000,PGD Chợ Mới,105.4022986,10.5493152,74033000,PGD Châu Thành,105.3770658,10.4448318,11.9410998599295,An Giang,1,69,"1 hr 12 min
31.7 km",31.7,1 hr 12 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74032000__74033000,74032000__74033000,"10.54932,105.40230__10.44483,105.37707","10.44483,105.37707__10.54932,105.40230",directed_pair_key_by_code,23.2,31.7,,1 hr 12 min,,2.6547,8.5,8.5,0.3664,SUSPECT_CHANGED,HIGH
170,172,74037000,PGD Phú Hòa,105.3746042,10.3582537,84030000,PGD Rạch Giá,105.0839699,10.0089592,50.2023605307822,An Giang,2,70,"1 hr 21 min
79.1 km",79.1,1 hr 21 min,part/output_part_02/ket_qua_tu_0_den_99.xlsx,original_output,ok,74037000__84030000,74037000__84030000,"10.35825,105.37460__10.00896,105.08397","10.00896,105.08397__10.35825,105.37460",directed_pair_key_by_code,58.4,79.1,,1 hr 21 min,,1.5756,20.7,20.7,0.3545,SUSPECT_CHANGED,HIGH
330,332,28000000,CN Bắc Giang,106.1939706,21.2783687,28931000,PGD Nhân Trung,106.098373,21.27475,9.913609949533095,Bắc Ninh,4,30,"17 min
11.2 km",11.2,17 min,part/output_part_04/ket_qua_tu_0_den_99.xlsx,original_output,ok,28000000__28931000,28000000__28931000,"21.27837,106.19397__21.27475,106.09837","21.27475,106.09837__21.27837,106.19397",directed_pair_key_by_code,23.6,11.2,,17 min,,1.1298,-12.4,12.4,0.5254,SUSPECT_CHANGED,HIGH
393,395,28031000,ĐĐKD PGD Tân Yên,106.126606,21.3880737,28931000,PGD Nhân Trung,106.098373,21.27475,12.93590639019073,Bắc Ninh,4,93,"20 min
13.9 km",13.9,20 min,part/output_part_04/ket_qua_tu_0_den_99.xlsx,original_output,ok,28031000__28931000,28031000__28931000,"21.38807,106.12661__21.27475,106.09837","21.27475,106.09837__21.38807,106.12661",directed_pair_key_by_code,26.3,13.9,,20 min,,1.0745,-12.4,12.4,0.4715,SUSPECT_CHANGED,HIGH
423,425,28033000,PGD Việt Yên,106.116974,21.26326,28931000,PGD Nhân Trung,106.098373,21.27475,2.312454237358001,Bắc Ninh,5,23,"5 min
2.7 km",2.7,5 min,part/output_part_05/ket_qua_tu_0_den_99.xlsx,original_output,ok,28033000__28931000,28033000__28931000,"21.26326,106.11697__21.27475,106.09837","21.26326,106.11697__21.27475,106.09837",directed_pair_key_by_code,12.4,2.7,,5 min,,1.1676,-9.7,9.7,0.7823,SUSPECT_CHANGED,HIGH
480,482,28035000,PGD Thành phố Bắc Giang,106.2075343,21.283698,28931000,PGD Nhân Trung,106.098373,21.27475,11.35433034224555,Bắc Ninh,5,80,"18 min
13.3 km",13.3,18 min,part/output_part_05/ket_qua_tu_0_den_99.xlsx,original_output,ok,28035000__28931000,28035000__28931000,"21.28370,106.20753__21.27475,106.09837","21.27475,106.09837__21.28370,106.20753",directed_pair_key_by_code,24.1,13.3,,18 min,,1.1714,-10.8,10.8,0.4481,SUSPECT_CHANGED,HIGH
533,535,28038000,PGD Hiệp Hòa,105.9817087,21.353779,28931000,PGD Nhân Trung,106.098373,21.27475,14.94236458461259,Bắc Ninh,6,33,"19 min
15.0 km",15.0,19 min,part/output_part_06/ket_qua_tu_0_den_99.xlsx,original_output,ok,28038000__28931000,28038000__28931000,"21.35378,105.98171__21.27475,106.09837","21.27475,106.09837__21.35378,105.98171",directed_pair_key_by_code,28.7,15.0,,19 min,,1.0039,-13.7,13.7,0.4774,SUSPECT_CHANGED,HIGH
582,584,28200000,CN Bắc Ninh,106.0693617,21.18229,28931000,PGD Nhân Trung,106.098373,21.27475,10.71182036101213,Bắc Ninh,6,82,"18 min
11.9 km",11.9,18 min,part/output_part_06/ket_qua_tu_0_den_99.xlsx,original_output,ok,28200000__28931000,28200000__28931000,"21.18229,106.06936__21.27475,106.09837","21.18229,106.06936__21.27475,106.09837",directed_pair_key_by_code,1.3,11.9,,18 min,,1.1109,10.6,10.6,8.1538,SUSPECT_CHANGED,HIGH
605,607,28230000,PGD Quế Võ,106.1505394,21.1533581,28931000,PGD Nhân Trung,106.098373,21.27475,14.5410687115622,Bắc Ninh,7,5,"26 min
18.2 km",18.2,26 min,part/output_part_07/ket_qua_tu_0_den_99.xlsx,original_output,ok,28230000__28931000,28230000__28931000,"21.15336,106.15054__21.27475,106.09837","21.15336,106.15054__21.27475,106.09837",directed_pair_key_by_code,10.2,18.2,,26 min,,1.2516,8.0,8.0,0.7843,SUSPECT_CHANGED,HIGH
627,629,28232000,PGD Lương Tài,106.2022067,21.0183574,28931000,PGD Nhân Trung,106.098373,21.27475,30.47545383238381,Bắc Ninh,7,27,"55 min
42.3 km",42.3,55 min,part/output_part_07/ket_qua_tu_0_den_99.xlsx,original_output,ok,28232000__28931000,28232000__28931000,"21.01836,106.20221__21.27475,106.09837","21.01836,106.20221__21.27475,106.09837",directed_pair_key_by_code,28.6,42.3,,55 min,,1.388,13.7,13.7,0.479,SUSPECT_CHANGED,HIGH
648,650,28234000,PGD Kinh Bắc,106.0736235,21.1892532,28931000,PGD Nhân Trung,106.098373,21.27475,9.846829203868474,Bắc Ninh,7,48,"16 min
10.9 km",10.9,16 min,part/output_part_07/ket_qua_tu_0_den_99.xlsx,original_output,ok,28234000__28931000,28234000__28931000,"21.18925,106.07362__21.27475,106.09837","21.18925,106.07362__21.27475,106.09837",directed_pair_key_by_code,2.9,10.9,,16 min,,1.107,8.0,8.0,2.7586,SUSPECT_CHANGED,HIGH
668,670,28236000,PGD Gia Bình,106.1735679,21.0525084,28931000,PGD Nhân Trung,106.098373,21.27475,25.91312748716323,Bắc Ninh,7,68,"49 min
37.1 km",37.1,49 min,part/output_part_07/ket_qua_tu_0_den_99.xlsx,original_output,ok,28236000__28931000,28236000__28931000,"21.05251,106.17357__21.27475,106.09837","21.05251,106.17357__21.27475,106.09837",directed_pair_key_by_code,23.8,37.1,,49 min,,1.4317,13.3,13.3,0.5588,SUSPECT_CHANGED,HIGH
687,689,28238000,PGD Thuận Thành,106.08844,21.0592834,28931000,PGD Nhân Trung,106.098373,21.27475,23.98095491351442,Bắc Ninh,7,87,"35 min
28.0 km",28.0,35 min,part/output_part_07/ket_qua_tu_0_den_99.xlsx,original_output,ok,28238000__28931000,28238000__28931000,"21.05928,106.08844__21.27475,106.09837","21.05928,106.08844__21.27475,106.09837",directed_pair_key_by_code,14.9,28.0,,35 min,,1.1676,13.1,13.1,0.8792,SUSPECT_CHANGED,HIGH
689,691,28238000,PGD Thuận Thành,106.08844,21.0592834,28933000,PGD Thuận An,106.09333,21.039324,2.27666324358716,Bắc Ninh,7,89,"4 min
2.6 km",2.6,4 min,part/output_part_07/ket_qua_tu_0_den_99.xlsx,original_output,ok,28238000__28933000,28238000__28933000,"21.05928,106.08844__21.03932,106.09333","21.03932,106.09333__21.05928,106.08844",directed_pair_key_by_code,1.2,2.6,,4 min,,1.142,1.4,1.4,1.1667,SUSPECT_CHANGED,HIGH
705,707,28240000,PGD Đông Tiến,105.9638185,21.2096607,28931000,PGD Nhân Trung,106.098373,21.27475,15.71155605726765,Bắc Ninh,8,5,"28 min
23.3 km",23.3,28 min,part/output_part_08/ket_qua_tu_0_den_99.xlsx,original_output,ok,28240000__28931000,28240000__28931000,"21.20966,105.96382__21.27475,106.09837","21.20966,105.96382__21.27475,106.09837",directed_pair_key_by_code,16.7,23.3,,28 min,,1.483,6.6,6.6,0.3952,SUSPECT_CHANGED,HIGH
722,724,28246000,PGD Thanh Khương,106.0429905,21.036349,28931000,PGD Nhân Trung,106.098373,21.27475,27.12402176220647,Bắc Ninh,8,22,"41 min
33.3 km",33.3,41 min,part/output_part_08/ket_qua_tu_0_den_99.xlsx,original_output,ok,28246000__28931000,28246000__28931000,"21.03635,106.04299__21.27475,106.09837","21.03635,106.04299__21.27475,106.09837",directed_pair_key_by_code,20.8,33.3,,41 min,,1.2277,12.5,12.5,0.601,SUSPECT_CHANGED,HIGH
