global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority
2,4,74000000,CN An Giang,105.4434611,10.3785683,74032000,PGD Chợ Mới,105.4022986,10.5493152,19.51242903084497,An Giang,1,2,"53 min
26.9 km",26.9,53 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74000000__74032000,74000000__74032000,"10.37857,105.44346__10.54932,105.40230","10.37857,105.44346__10.54932,105.40230",directed_pair_key_by_code,33.5,26.9,,53 min,,1.3786,-6.6,6.6,0.197,WATCH_CHANGED,MEDIUM
58,60,74031000,PGD Thoại Sơn,105.2696884,10.2680965,84000000,CN Kiên Giang,105.0875773,9.9924968,36.55826250404257,An Giang,1,58,"1 hr 17 min
56.2 km",56.2,1 hr 17 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74031000__84000000,74031000__84000000,"10.26810,105.26969__9.99250,105.08758","10.26810,105.26969__9.99250,105.08758",directed_pair_key_by_code,47.8,56.2,,1 hr 17 min,,1.5373,8.4,8.4,0.1757,WATCH_CHANGED,MEDIUM
73,75,74032000,PGD Chợ Mới,105.4022986,10.5493152,74037000,PGD Phú Hòa,105.3746042,10.3582537,21.45985131198679,An Giang,1,73,"1 hr 6 min
35.4 km",35.4,1 hr 6 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74032000__74037000,74032000__74037000,"10.54932,105.40230__10.35825,105.37460","10.35825,105.37460__10.54932,105.40230",directed_pair_key_by_code,41.9,35.4,,1 hr 6 min,,1.6496,-6.5,6.5,0.1551,WATCH_CHANGED,MEDIUM
119,121,74034000,PGD Châu Phú,105.241432,10.569769,84030000,PGD Rạch Giá,105.0839699,10.0089592,64.69515462791271,An Giang,2,19,"1 hr 58 min
108 km",108.0,1 hr 58 min,part/output_part_02/ket_qua_tu_0_den_99.xlsx,original_output,ok,74034000__84030000,74034000__84030000,"10.56977,105.24143__10.00896,105.08397","10.00896,105.08397__10.56977,105.24143",directed_pair_key_by_code,92.0,108.0,,1 hr 58 min,,1.6694,16.0,16.0,0.1739,WATCH_CHANGED,MEDIUM
169,171,74037000,PGD Phú Hòa,105.3746042,10.3582537,84000000,CN Kiên Giang,105.0875773,9.9924968,51.38982406509938,An Giang,2,69,"1 hr 21 min
78.9 km",78.9,1 hr 21 min,part/output_part_02/ket_qua_tu_0_den_99.xlsx,original_output,ok,74037000__84000000,74037000__84000000,"10.35825,105.37460__9.99250,105.08758","10.35825,105.37460__9.99250,105.08758",directed_pair_key_by_code,63.4,78.9,,1 hr 21 min,,1.5353,15.5,15.5,0.2445,WATCH_CHANGED,MEDIUM
362,364,28030000,PGD Lạng Giang,106.2609426,21.3561754,28931000,PGD Nhân Trung,106.098373,21.27475,19.11999491745931,Bắc Ninh,4,62,"30 min
27.0 km",27.0,30 min,part/output_part_04/ket_qua_tu_0_den_99.xlsx,original_output,ok,28030000__28931000,28030000__28931000,"21.35618,106.26094__21.27475,106.09837","21.27475,106.09837__21.35618,106.26094",directed_pair_key_by_code,33.7,27.0,,30 min,,1.4121,-6.7,6.7,0.1988,WATCH_CHANGED,MEDIUM
407,409,28033000,PGD Việt Yên,106.116974,21.26326,28240000,PGD Đông Tiến,105.9638185,21.2096607,16.95567875345451,Bắc Ninh,5,7,"30 min
29.0 km",29.0,30 min,part/output_part_05/ket_qua_tu_0_den_99.xlsx,original_output,ok,28033000__28240000,28033000__28240000,"21.26326,106.11697__21.20966,105.96382","21.20966,105.96382__21.26326,106.11697",directed_pair_key_by_code,24.9,29.0,,30 min,,1.7103,4.1,4.1,0.1647,WATCH_CHANGED,MEDIUM
413,415,28033000,PGD Việt Yên,106.116974,21.26326,28433000,PGD Yên Phong,105.9551913,21.1966013,18.33370697259573,Bắc Ninh,5,13,"30 min
29.3 km",29.3,30 min,part/output_part_05/ket_qua_tu_0_den_99.xlsx,original_output,ok,28033000__28433000,28033000__28433000,"21.26326,106.11697__21.19660,105.95519","21.19660,105.95519__21.26326,106.11697",directed_pair_key_by_code,23.8,29.3,,30 min,,1.5981,5.5,5.5,0.2311,WATCH_CHANGED,MEDIUM
415,417,28033000,PGD Việt Yên,106.116974,21.26326,28436000,PGD Nam Bắc Ninh,106.0572783,21.1696482,12.10956652694855,Bắc Ninh,5,15,"19 min
16.4 km",16.4,19 min,part/output_part_05/ket_qua_tu_0_den_99.xlsx,original_output,ok,28033000__28436000,28033000__28436000,"21.26326,106.11697__21.16965,106.05728","21.16965,106.05728__21.26326,106.11697",directed_pair_key_by_code,13.6,16.4,,19 min,,1.3543,2.8,2.8,0.2059,WATCH_CHANGED,MEDIUM
417,419,28033000,PGD Việt Yên,106.116974,21.26326,28531000,PGD KCN Yên Phong,105.9945248,21.1991353,14.55742688600102,Bắc Ninh,5,17,"25 min
24.4 km",24.4,25 min,part/output_part_05/ket_qua_tu_0_den_99.xlsx,original_output,ok,28033000__28531000,28033000__28531000,"21.26326,106.11697__21.19914,105.99452","21.19914,105.99452__21.26326,106.11697",directed_pair_key_by_code,20.1,24.4,,25 min,,1.6761,4.3,4.3,0.2139,WATCH_CHANGED,MEDIUM
