global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority
19443,19445,64036000,PGD Bàu Bàng,106.6362417,11.2429544,88000000,CN Bà Rịa - Vũng Tàu,107.0753056,10.3481944,110.4478448312946,TP. Hồ Chí Minh,195,43,"30 min
19.4 km",19.4,30 min,part/output_part_195/ket_qua_tu_0_den_99.xlsx,original_output,ok,64036000__88000000,64036000__88000000,"11.24295,106.63624__10.34819,107.07531","10.34819,107.07531__11.24295,106.63624",directed_pair_key_by_code,149.0,19.4,,30 min,,0.1756,-129.6,129.6,0.8698,SUSPECT_CHANGED,HIGH
19446,19448,64036000,PGD Bàu Bàng,106.6362417,11.2429544,88032000,PGD Thắng Nhất,107.1119125,10.3980829,107.3531801611606,TP. Hồ Chí Minh,195,46,"18 min
11.6 km",11.6,18 min,part/output_part_195/ket_qua_tu_0_den_99.xlsx,original_output,ok,64036000__88032000,64036000__88032000,"11.24295,106.63624__10.39808,107.11191","10.39808,107.11191__11.24295,106.63624",directed_pair_key_by_code,141.0,11.6,,18 min,,0.1081,-129.4,129.4,0.9177,SUSPECT_CHANGED,HIGH
19351,19353,64035000,PGD Tân Đông Hiệp,106.7422824,10.9280524,90434000,PGD Thái Sơn,106.687313,10.824671,12.96830495728751,TP. Hồ Chí Minh,194,51,"3 hr 10 min
144 km",144.0,3 hr 10 min,part/output_part_194/ket_qua_tu_0_den_99.xlsx,original_output,ok,64035000__90434000,64035000__90434000,"10.92805,106.74228__10.82467,106.68731","10.82467,106.68731__10.92805,106.74228",directed_pair_key_by_code,16.3,144.0,,3 hr 10 min,,11.104,127.7,127.7,7.8344,SUSPECT_CHANGED,HIGH
19444,19446,64036000,PGD Bàu Bàng,106.6362417,11.2429544,88030000,PGD Nguyễn An Ninh,107.0898627,10.3656844,109.4093817989767,TP. Hồ Chí Minh,195,44,"34 min
19.3 km",19.3,34 min,part/output_part_195/ket_qua_tu_0_den_99.xlsx,original_output,ok,64036000__88030000,64036000__88030000,"11.24295,106.63624__10.36568,107.08986","10.36568,107.08986__11.24295,106.63624",directed_pair_key_by_code,147.0,19.3,,34 min,,0.1764,-127.7,127.7,0.8687,SUSPECT_CHANGED,HIGH
19452,19454,64036000,PGD Bàu Bàng,106.6362417,11.2429544,88041000,PGD Xuyên Mộc,107.4095097,10.5384199,115.1800293621377,TP. Hồ Chí Minh,195,52,"36 min
20.8 km",20.8,36 min,part/output_part_195/ket_qua_tu_0_den_99.xlsx,original_output,ok,64036000__88041000,64036000__88041000,"11.24295,106.63624__10.53842,107.40951","10.53842,107.40951__11.24295,106.63624",directed_pair_key_by_code,147.0,20.8,,36 min,,0.1806,-126.2,126.2,0.8585,SUSPECT_CHANGED,HIGH
1915,1917,50633000,PGD Cư Jút,107.8992603,12.5927414,60030000,PGD Mũi Né,108.286852,10.9362766,188.9611943714505,Lâm Đồng,20,15,"6 hr 39 min
283 km",283.0,6 hr 39 min,part/output_part_20/ket_qua_tu_0_den_99.xlsx,original_output,ok,50633000__60030000,50633000__60030000,"12.59274,107.89926__10.93628,108.28685","10.93628,108.28685__12.59274,107.89926",directed_pair_key_by_code,408.0,283.0,,6 hr 39 min,,1.4977,-125.0,125.0,0.3064,SUSPECT_CHANGED,HIGH
19344,19346,64035000,PGD Tân Đông Hiệp,106.7422824,10.9280524,90331000,PGD Bình Trưng Tây,106.7566664,10.788686,15.57626399276766,TP. Hồ Chí Minh,194,44,"3 hr 9 min
142 km",142.0,3 hr 9 min,part/output_part_194/ket_qua_tu_0_den_99.xlsx,original_output,ok,64035000__90331000,64035000__90331000,"10.92805,106.74228__10.78869,106.75667","10.78869,106.75667__10.92805,106.74228",directed_pair_key_by_code,18.8,142.0,,3 hr 9 min,,9.1164,123.2,123.2,6.5532,SUSPECT_CHANGED,HIGH
19342,19344,64035000,PGD Tân Đông Hiệp,106.7422824,10.9280524,90300000,CN Thủ Thiêm,106.7293726,10.7875464,15.68705457053671,TP. Hồ Chí Minh,194,42,"3 hr 12 min
143 km",143.0,3 hr 12 min,part/output_part_194/ket_qua_tu_0_den_99.xlsx,original_output,ok,64035000__90300000,64035000__90300000,"10.92805,106.74228__10.78755,106.72937","10.78755,106.72937__10.92805,106.74228",directed_pair_key_by_code,20.0,143.0,,3 hr 12 min,,9.1158,123.0,123.0,6.15,SUSPECT_CHANGED,HIGH
19343,19345,64035000,PGD Tân Đông Hiệp,106.7422824,10.9280524,90330000,PGD An Phú,106.7385273,10.7978598,14.48258316932482,TP. Hồ Chí Minh,194,43,"3 hr 6 min
141 km",141.0,3 hr 6 min,part/output_part_194/ket_qua_tu_0_den_99.xlsx,original_output,ok,64035000__90330000,64035000__90330000,"10.92805,106.74228__10.79786,106.73853","10.79786,106.73853__10.92805,106.74228",directed_pair_key_by_code,19.3,141.0,,3 hr 6 min,,9.7358,121.7,121.7,6.3057,SUSPECT_CHANGED,HIGH
19445,19447,64036000,PGD Bàu Bàng,106.6362417,11.2429544,88031000,PGD Tam Thắng,107.0854444,10.3494722,110.805718736219,TP. Hồ Chí Minh,195,45,"32 min
19.2 km",19.2,32 min,part/output_part_195/ket_qua_tu_0_den_99.xlsx,original_output,ok,64036000__88031000,64036000__88031000,"11.24295,106.63624__10.34947,107.08544","10.34947,107.08544__11.24295,106.63624",directed_pair_key_by_code,140.0,19.2,,32 min,,0.1733,-120.8,120.8,0.8629,SUSPECT_CHANGED,HIGH
