global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority,recrawl_group,pair_key,recrawl_batch
20855,20857,90000000,CN Thành phố Hồ Chí Minh,106.7033737,10.7705105,90200000,CN 1 Thành phố Hồ Chí Minh,106.701474,10.7706429,0.2080375789648704,TP. Hồ Chí Minh,209,55,"1 hr 47 min
97.8 km",97.8,1 hr 47 min,part/output_part_209/ket_qua_tu_0_den_99.xlsx,original_output,ok,90000000__90200000,90000000__90200000,"10.77051,106.70337__10.77064,106.70147","10.77051,106.70337__10.77064,106.70147",directed_pair_key_by_code,0.55,97.8,,1 hr 47 min,,470.1074,97.25,97.25,176.8182,SUSPECT_CHANGED,HIGH,HIGH,90000000__90200000,batch_01
17082,17084,32430000,PGD An Khánh,105.7320396,21.0043752,32800000,CN Tây Thăng Long,105.7328363,21.0059239,0.1910371427700498,TP. Hà Nội,171,82,"46 min
19.6 km",19.6,46 min,part/output_part_171/ket_qua_tu_0_den_99.xlsx,original_output,ok,32430000__32800000,32430000__32800000,"21.00438,105.73204__21.00592,105.73284","21.00438,105.73204__21.00592,105.73284",directed_pair_key_by_code,0.25,19.6,,46 min,,102.5978,19.35,19.35,77.4,SUSPECT_CHANGED,HIGH,HIGH,32430000__32800000,batch_01
18282,18284,34000000,CN Hải Dương,106.3304357,20.9404918,34031000,PGD Trần Hưng Đạo,106.3328297,20.9392325,0.2853414857509707,TP. Hải Phòng,183,82,"1 hr 10 min
44.9 km",44.9,1 hr 10 min,part/output_part_183/ket_qua_tu_0_den_99.xlsx,original_output,ok,34000000__34031000,34000000__34031000,"20.94049,106.33044__20.93923,106.33283","20.93923,106.33283__20.94049,106.33044",directed_pair_key_by_code,0.3,44.9,,1 hr 10 min,,157.3553,44.6,44.6,148.6667,SUSPECT_CHANGED,HIGH,HIGH,34000000__34031000,batch_02
3336,3338,24030000,PGD Trung tâm,105.3985889,21.3118194,24233000,PGD Bạch Hạc,105.437828,21.292337,4.606304310474876,Phú Thọ,34,36,"15 min
7.0 km",7.0,15 min,part/output_part_34/ket_qua_tu_0_den_99.xlsx,original_output,ok,24030000__24233000,24030000__24233000,"21.31182,105.39859__21.29234,105.43783","21.29234,105.43783__21.31182,105.39859",directed_pair_key_by_code,0.9,7.0,,15 min,,1.5197,6.1,6.1,6.7778,SUSPECT_CHANGED,HIGH,HIGH,24030000__24233000,batch_03
855,857,28930000,PGD Nguyễn Gia Thiều,106.0658495,21.180873,28931000,PGD Nhân Trung,106.098373,21.27475,10.96949153116416,Bắc Ninh,9,55,"19 min
12.2 km",12.2,19 min,part/output_part_09/ket_qua_tu_0_den_99.xlsx,original_output,ok,28930000__28931000,28930000__28931000,"21.18087,106.06585__21.27475,106.09837","21.18087,106.06585__21.27475,106.09837",directed_pair_key_by_code,0.75,12.2,,19 min,,1.1122,11.45,11.45,15.2667,SUSPECT_CHANGED,HIGH,HIGH,28930000__28931000,batch_02
28990,28992,17230000,PGD Chợ Mới,105.780785,21.881716,22038000,PGD Phú Lương,105.7056806,21.7280313,18.76576177656483,Thái Nguyên,290,90,"31 min
24.3 km",24.3,31 min,part/output_part_290/ket_qua_tu_0_den_99.xlsx,original_output,ok,17230000__22038000,17230000__22038000,"21.88172,105.78078__21.72803,105.70568","21.72803,105.70568__21.88172,105.78078",directed_pair_key_by_code,117.0,24.3,,31 min,,1.2949,-92.7,92.7,0.7923,SUSPECT_CHANGED,HIGH,HIGH,17230000__22038000,batch_02
28221,28223,48000000,CN Đà Nẵng,108.2112235,16.06009,48030000,PGD Hải Châu,108.2221862,16.055051,1.298544163409054,TP. Đà Nẵng,283,21,"5 分
3.4 km",3.4,5 分,part/output_part_283/ket_qua_tu_0_den_99.xlsx,original_output,ok,48000000__48030000,48000000__48030000,"16.06009,108.21122__16.05505,108.22219","16.05505,108.22219__16.06009,108.21122",directed_pair_key_by_code,2.1,3.4,,5 分,,2.6183,1.3,1.3,0.619,SUSPECT_CHANGED,HIGH,HIGH,48000000__48030000,batch_02
2446,2448,44042000,PGD Diễn Thịnh,105.6015475,18.9598055,44431000,PGD Diễn Châu,105.597733,18.976027,1.847814067768521,Nghệ An,25,46,"6 min
3.3 km",3.3,6 min,part/output_part_25/ket_qua_tu_0_den_99.xlsx,original_output,ok,44042000__44431000,44042000__44431000,"18.95981,105.60155__18.97603,105.59773","18.95981,105.60155__18.97603,105.59773",directed_pair_key_by_code,2.4,3.3,,6 min,,1.7859,0.9,0.9,0.375,SUSPECT_CHANGED,HIGH,HIGH,44042000__44431000,batch_02
2807,2809,38034000,PGD Nghĩa Hưng,106.1848763,20.2147832,40032000,PGD Yên Khánh,106.0655142,20.1880888,12.80480303108354,Ninh Bình,29,7,"27 min
19.4 km",19.4,27 min,part/output_part_29/ket_qua_tu_0_den_99.xlsx,original_output,ok,38034000__40032000,38034000__40032000,"20.21478,106.18488__20.18809,106.06551","20.18809,106.06551__20.21478,106.18488",directed_pair_key_by_code,43.8,19.4,,27 min,,1.5151,-24.4,24.4,0.5571,SUSPECT_CHANGED,HIGH,HIGH,38034000__40032000,batch_01
29789,29791,78031000,PGD Tây Châu Thành,106.2435524,10.2711836,80000000,CN Vĩnh Long,105.973473,10.2551068,29.60501307331464,Vĩnh Long,298,89,"1 時間 39 分
88.9 km",88.9,1 時間 39 分,part/output_part_298/ket_qua_tu_0_den_99.xlsx,original_output,ok,78031000__80000000,78031000__80000000,"10.27118,106.24355__10.25511,105.97347","10.25511,105.97347__10.27118,106.24355",directed_pair_key_by_code,35.6,88.9,,1 時間 39 分,,3.0029,53.3,53.3,1.4972,SUSPECT_CHANGED,HIGH,HIGH,78031000__80000000,batch_03
