global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority,recrawl_group,pair_key,recrawl_batch
18282,18284,34000000,CN Hải Dương,106.3304357,20.9404918,34031000,PGD Trần Hưng Đạo,106.3328297,20.9392325,0.2853414857509707,TP. Hải Phòng,183,82,"1 hr 10 min
44.9 km",44.9,1 hr 10 min,part/output_part_183/ket_qua_tu_0_den_99.xlsx,original_output,ok,34000000__34031000,34000000__34031000,"20.94049,106.33044__20.93923,106.33283","20.93923,106.33283__20.94049,106.33044",directed_pair_key_by_code,0.3,44.9,,1 hr 10 min,,157.3553,44.6,44.6,148.6667,SUSPECT_CHANGED,HIGH,HIGH,34000000__34031000,batch_02
855,857,28930000,PGD Nguyễn Gia Thiều,106.0658495,21.180873,28931000,PGD Nhân Trung,106.098373,21.27475,10.96949153116416,Bắc Ninh,9,55,"19 min
12.2 km",12.2,19 min,part/output_part_09/ket_qua_tu_0_den_99.xlsx,original_output,ok,28930000__28931000,28930000__28931000,"21.18087,106.06585__21.27475,106.09837","21.18087,106.06585__21.27475,106.09837",directed_pair_key_by_code,0.75,12.2,,19 min,,1.1122,11.45,11.45,15.2667,SUSPECT_CHANGED,HIGH,HIGH,28930000__28931000,batch_02
28990,28992,17230000,PGD Chợ Mới,105.780785,21.881716,22038000,PGD Phú Lương,105.7056806,21.7280313,18.76576177656483,Thái Nguyên,290,90,"31 min
24.3 km",24.3,31 min,part/output_part_290/ket_qua_tu_0_den_99.xlsx,original_output,ok,17230000__22038000,17230000__22038000,"21.88172,105.78078__21.72803,105.70568","21.72803,105.70568__21.88172,105.78078",directed_pair_key_by_code,117.0,24.3,,31 min,,1.2949,-92.7,92.7,0.7923,SUSPECT_CHANGED,HIGH,HIGH,17230000__22038000,batch_02
28221,28223,48000000,CN Đà Nẵng,108.2112235,16.06009,48030000,PGD Hải Châu,108.2221862,16.055051,1.298544163409054,TP. Đà Nẵng,283,21,"5 分
3.4 km",3.4,5 分,part/output_part_283/ket_qua_tu_0_den_99.xlsx,original_output,ok,48000000__48030000,48000000__48030000,"16.06009,108.21122__16.05505,108.22219","16.05505,108.22219__16.06009,108.21122",directed_pair_key_by_code,2.1,3.4,,5 分,,2.6183,1.3,1.3,0.619,SUSPECT_CHANGED,HIGH,HIGH,48000000__48030000,batch_02
2446,2448,44042000,PGD Diễn Thịnh,105.6015475,18.9598055,44431000,PGD Diễn Châu,105.597733,18.976027,1.847814067768521,Nghệ An,25,46,"6 min
3.3 km",3.3,6 min,part/output_part_25/ket_qua_tu_0_den_99.xlsx,original_output,ok,44042000__44431000,44042000__44431000,"18.95981,105.60155__18.97603,105.59773","18.95981,105.60155__18.97603,105.59773",directed_pair_key_by_code,2.4,3.3,,6 min,,1.7859,0.9,0.9,0.375,SUSPECT_CHANGED,HIGH,HIGH,44042000__44431000,batch_02
69,71,74032000,PGD Chợ Mới,105.4022986,10.5493152,74033000,PGD Châu Thành,105.3770658,10.4448318,11.9410998599295,An Giang,1,69,"1 hr 12 min
31.7 km",31.7,1 hr 12 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74032000__74033000,74032000__74033000,"10.54932,105.40230__10.44483,105.37707","10.44483,105.37707__10.54932,105.40230",directed_pair_key_by_code,23.2,31.7,,1 hr 12 min,,2.6547,8.5,8.5,0.3664,SUSPECT_CHANGED,HIGH,HIGH,74032000__74033000,batch_02
1250,1252,54232000,PGD Phù Mỹ,109.0509973,14.173777,54235000,PGD Bình Khê,108.9247222,13.9050556,32.83893608215514,Gia Lai,13,50,"1 hr 1 min
49.1 km",49.1,1 hr 1 min,part/output_part_13/ket_qua_tu_0_den_99.xlsx,original_output,ok,54232000__54235000,54232000__54235000,"14.17378,109.05100__13.90506,108.92472","13.90506,108.92472__14.17378,109.05100",directed_pair_key_by_code,39.9,49.1,,1 hr 1 min,,1.4952,9.2,9.2,0.2306,WATCH_CHANGED,MEDIUM,MEDIUM,54232000__54235000,batch_02
1700,1702,58031000,PGD Cam Ranh,109.1416327,11.9168793,58034000,PGD Bắc Nha Trang,109.1942858,12.2807545,40.86410977456494,Khánh Hoà,18,0,"1 hr 7 min
58.6 km",58.6,1 hr 7 min,part/output_part_18/ket_qua_tu_0_den_99.xlsx,original_output,ok,58031000__58034000,58031000__58034000,"11.91688,109.14163__12.28075,109.19429","11.91688,109.14163__12.28075,109.19429",directed_pair_key_by_code,72.0,58.6,,1 hr 7 min,,1.434,-13.4,13.4,0.1861,WATCH_CHANGED,MEDIUM,MEDIUM,58031000__58034000,batch_02
20840,20842,90000000,CN Thành phố Hồ Chí Minh,106.7033737,10.7705105,90030000,PGD Bến Thành,106.6975114,10.7719804,0.6609033544341025,TP. Hồ Chí Minh,209,40,"1 hr 33 min
93.3 km",93.3,1 hr 33 min,part/output_part_209/ket_qua_tu_0_den_99.xlsx,original_output,ok,90000000__90030000,90000000__90030000,"10.77051,106.70337__10.77198,106.69751","10.77051,106.70337__10.77198,106.69751",directed_pair_key_by_code,0.95,93.3,,1 hr 33 min,,141.1704,92.35,92.35,97.2105,SUSPECT_CHANGED,HIGH,HIGH,90000000__90030000,batch_02
15890,15892,14600000,CN Tây Hà Nội,105.7733339,21.0376276,14630000,PGD Trung Hoà,105.7743892,21.0421264,0.5120930770179654,TP. Hà Nội,159,90,"1 hr 2 min
35.9 km",35.9,1 hr 2 min,part/output_part_159/ket_qua_tu_0_den_99.xlsx,original_output,ok,14600000__14630000,14600000__14630000,"21.03763,105.77333__21.04213,105.77439","21.03763,105.77333__21.04213,105.77439",directed_pair_key_by_code,0.9,35.9,,1 hr 2 min,,70.1044,35.0,35.0,38.8889,SUSPECT_CHANGED,HIGH,HIGH,14600000__14630000,batch_02
