global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,old_kinh_do_1,old_vi_do_1,old_kinh_do_2,old_vi_do_2,coord_update_note,recrawl_machine_id,recrawl_attempts,recrawl_status,recrawl_distance_text,recrawl_distance_km,recrawl_duration_text,recrawl_raw_text,recrawl_screenshot_path,recrawl_attempts_json
3307,3309,24000000,CN Phú Thọ,105.3895,21.317047,24832000,PGD Phong Châu,105.292801,21.339281,11.27864314629475,Phú Thọ,34,7,"23 min
14.3 km",14.3,23 min,part/output_part_34/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.3895,21.317047,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000,PHONG_CHAU_24832000,1,OK,13.5 km,13.5,21 min,"21 min
13.5 km",,"[{""attempt"": 1, ""origin_input"": ""21.317047,105.3895"", ""destination_input"": ""21.339281,105.292801"", ""google_maps_url"": ""https://www.google.com/maps/dir/21.317047,105.3895/21.339281,105.292801/data=!4m2!4m1!3e0"", ""crawl_timestamp"": ""2026-05-11T14:22:38"", ""current_url_after_load"": ""https://www.google.com/maps/dir/21.317047,105.3895/21.339281,105.292801/data=!4m2!4m1!3e0"", ""page_title"": ""1514 Đ. Hùng Vương, Việt Trì, Phú Thọ, Vietnam to CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG, Âu Cơ, Lâm Thao, Phú Thọ 35257, Vietnam - Google Maps"", ""route_panel_raw_text"": ""\nLeave now\n\nOptions\n\nSend directions to your phone\n\nCopy link\n\n21 min\n13.5 km\nvia Tôn Đức Thắng\nBest route\nDetails\nPreview\n\n20 min\n13.4 km\nvia Đ. Lạc Long Quân and Tôn Đức Thắng\n\n24 min\n13.5 km\nvia Hùng Vương/QL2 and Đ. Nguyễn Tất Thành\nExplore nearby CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG\n\nRestaurants\n\nHotels\n\nGas stations\n\nParking Lots\n\nMore\n\nNew! Continue your trip, tap the notification on your phone to get directions\n"", ""selected_route_index"": 0, ""selected_route_selector"": ""div.XdKEzd"", ""selected_route_raw_text"": ""21 min\n13.5 km"", ""parsed_distance_text"": ""13.5 km"", ""parsed_duration_text"": ""21 min"", ""parsed_distance_km"": 13.5, ""all_distance_texts"": [""13.5 km""], ""screenshot_path"": null, ""status_check"": ""OK""}]"
3357,3359,24030000,PGD Trung tâm,105.3985889,21.3118194,24832000,PGD Phong Châu,105.292801,21.339281,12.34965817013081,Phú Thọ,34,57,"24 min
15.1 km",15.1,24 min,part/output_part_34/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.3985889,21.3118194,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000,PHONG_CHAU_24832000,1,OK,14.1 km,14.1,20 min,"20 min
14.1 km",,"[{""attempt"": 1, ""origin_input"": ""21.3118194,105.3985889"", ""destination_input"": ""21.339281,105.292801"", ""google_maps_url"": ""https://www.google.com/maps/dir/21.3118194,105.3985889/21.339281,105.292801/data=!4m2!4m1!3e0"", ""crawl_timestamp"": ""2026-05-11T14:22:42"", ""current_url_after_load"": ""https://www.google.com/maps/dir/21.3118194,105.3985889/21.339281,105.292801/data=!4m2!4m1!3e0"", ""page_title"": ""Phòng GD Vietinbank Việt Trì, 1464 Đ. Hùng Vương, Thanh Miếu, Phú Thọ, Vietnam to CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG, Âu Cơ, Lâm Thao, Phú Thọ 35257, Vietnam - Google Maps"", ""route_panel_raw_text"": ""\nLeave now\n\nOptions\n\nSend directions to your phone\n\nCopy link\n\n20 min\n14.1 km\nvia Tôn Đức Thắng\nFastest route, the usual traffic\nDetails\nPreview\n\n21 min\n14.2 km\nvia Đ. Lạc Long Quân and Tôn Đức Thắng\n\n27 min\n16.0 km\nvia Đ. Nguyễn Tất Thành\nExplore nearby CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG\n\nRestaurants\n\nHotels\n\nGas stations\n\nParking Lots\n\nMore\n\nNew! Continue your trip, tap the notification on your phone to get directions\n"", ""selected_route_index"": 0, ""selected_route_selector"": ""div.XdKEzd"", ""selected_route_raw_text"": ""20 min\n14.1 km"", ""parsed_distance_text"": ""14.1 km"", ""parsed_duration_text"": ""20 min"", ""parsed_distance_km"": 14.1, ""all_distance_texts"": [""14.1 km""], ""screenshot_path"": null, ""status_check"": ""OK""}]"
3406,3408,24032000,PGD Nông Trang,105.3712672,21.3371986,24832000,PGD Phong Châu,105.292801,21.339281,8.979259924538955,Phú Thọ,35,6,"21 min
11.5 km",11.5,21 min,part/output_part_35/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.3712672,21.3371986,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000,PHONG_CHAU_24832000,1,OK,10.5 km,10.5,17 min,"17 min
10.5 km",,"[{""attempt"": 1, ""origin_input"": ""21.3371986,105.3712672"", ""destination_input"": ""21.339281,105.292801"", ""google_maps_url"": ""https://www.google.com/maps/dir/21.3371986,105.3712672/21.339281,105.292801/data=!4m2!4m1!3e0"", ""crawl_timestamp"": ""2026-05-11T14:22:45"", ""current_url_after_load"": ""https://www.google.com/maps/dir/21.3371986,105.3712672/21.339281,105.292801/data=!4m2!4m1!3e0"", ""page_title"": ""2256 QL2, Nông Trang, Phú Thọ, Vietnam to CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG, Âu Cơ, Lâm Thao, Phú Thọ 35257, Vietnam - Google Maps"", ""route_panel_raw_text"": ""\nLeave now\n\nOptions\n\nSend directions to your phone\n\nCopy link\n\n17 min\n10.5 km\nvia Đ. Nguyễn Tất Thành and Chu Hóa\nFastest route, the usual traffic\nDetails\nPreview\n\n20 min\n11.9 km\nvia Tôn Đức Thắng\n\n19 min\n12.8 km\nvia Nguyệt Cư and Tôn Đức Thắng\nExplore nearby CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG\n\nRestaurants\n\nHotels\n\nGas stations\n\nParking Lots\n\nMore\n\nNew! Continue your trip, tap the notification on your phone to get directions\n"", ""selected_route_index"": 0, ""selected_route_selector"": ""div.XdKEzd"", ""selected_route_raw_text"": ""17 min\n10.5 km"", ""parsed_distance_text"": ""10.5 km"", ""parsed_duration_text"": ""17 min"", ""parsed_distance_km"": 10.5, ""all_distance_texts"": [""10.5 km""], ""screenshot_path"": null, ""status_check"": ""OK""}]"
3454,3456,24034000,PGD Việt Trì,105.405247,21.3413701,24832000,PGD Phong Châu,105.292801,21.339281,12.45750245975509,Phú Thọ,35,54,"27 min
15.5 km",15.5,27 min,part/output_part_35/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.405247,21.3413701,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000,PHONG_CHAU_24832000,1,OK,14.6 km,14.6,23 min,"23 min
14.6 km",,"[{""attempt"": 1, ""origin_input"": ""21.3413701,105.405247"", ""destination_input"": ""21.339281,105.292801"", ""google_maps_url"": ""https://www.google.com/maps/dir/21.3413701,105.405247/21.339281,105.292801/data=!4m2!4m1!3e0"", ""crawl_timestamp"": ""2026-05-11T14:22:47"", ""current_url_after_load"": ""https://www.google.com/maps/dir/21.3413701,105.405247/21.339281,105.292801/data=!4m2!4m1!3e0"", ""page_title"": ""Kim Oanh Giường Tủ - Bàn Học Sinh, 8CR4+G3X, Trần Phú, Việt Trì, Phú Thọ, Vietnam to CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG, Âu Cơ, Lâm Thao, Phú Thọ 35257, Vietnam - Google Maps"", ""route_panel_raw_text"": ""\nLeave now\n\nOptions\n\nSend directions to your phone\n\nCopy link\n\n23 min\n14.6 km\nvia Đ. Nguyễn Tất Thành\nFastest route now due to traffic conditions\nDetails\nPreview\n\n25 min\n16.9 km\nvia Chu Hóa\n\n25 min\n16.2 km\nvia Tôn Đức Thắng\nExplore nearby CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG\n\nRestaurants\n\nHotels\n\nGas stations\n\nParking Lots\n\nMore\n\nNew! Continue your trip, tap the notification on your phone to get directions\n"", ""selected_route_index"": 0, ""selected_route_selector"": ""div.XdKEzd"", ""selected_route_raw_text"": ""23 min\n14.6 km"", ""parsed_distance_text"": ""14.6 km"", ""parsed_duration_text"": ""23 min"", ""parsed_distance_km"": 14.6, ""all_distance_texts"": [""14.6 km""], ""screenshot_path"": null, ""status_check"": ""OK""}]"
3501,3503,24037000,PGD Lâm Thao,105.2912916,21.3363021,24832000,PGD Phong Châu,105.292801,21.339281,1.232056687881576,Phú Thọ,36,1,"5 min
2.2 km",2.2,5 min,part/output_part_36/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.2912916,21.3363021,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000,PHONG_CHAU_24832000,1,OK,350 m,0.35,1 min,"1 min
350 m",,"[{""attempt"": 1, ""origin_input"": ""21.3363021,105.2912916"", ""destination_input"": ""21.339281,105.292801"", ""google_maps_url"": ""https://www.google.com/maps/dir/21.3363021,105.2912916/21.339281,105.292801/data=!4m2!4m1!3e0"", ""crawl_timestamp"": ""2026-05-11T14:22:50"", ""current_url_after_load"": ""https://www.google.com/maps/dir/21.3363021,105.2912916/21.339281,105.292801/data=!4m2!4m1!3e0"", ""page_title"": ""314 QL32C, Lâm Thao, Phú Thọ, Vietnam to CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG, Âu Cơ, Lâm Thao, Phú Thọ 35257, Vietnam - Google Maps"", ""route_panel_raw_text"": ""\nLeave now\n\nOptions\n\nSend directions to your phone\n\nCopy link\n\n1 min\n350 m\nvia Âu Cơ/QL32C\nFastest route, the usual traffic\nDetails\nPreview\nExplore nearby CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG\n\nRestaurants\n\nHotels\n\nGas stations\n\nParking Lots\n\nMore\n\nNew! Continue your trip, tap the notification on your phone to get directions\n"", ""selected_route_index"": 0, ""selected_route_selector"": ""div.XdKEzd"", ""selected_route_raw_text"": ""1 min\n350 m"", ""parsed_distance_text"": ""350 m"", ""parsed_duration_text"": ""1 min"", ""parsed_distance_km"": 0.35, ""all_distance_texts"": [""350 m""], ""screenshot_path"": null, ""status_check"": ""OK""}]"
3547,3549,24039000,PGD Thanh Thuỷ,105.2824387,21.1733139,24832000,PGD Phong Châu,105.292801,21.339281,19.17462997290131,Phú Thọ,36,47,"38 min
26.3 km",26.3,38 min,part/output_part_36/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.2824387,21.1733139,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000,PHONG_CHAU_24832000,1,OK,25.4 km,25.4,36 min,"36 min
25.4 km",,"[{""attempt"": 1, ""origin_input"": ""21.1733139,105.2824387"", ""destination_input"": ""21.339281,105.292801"", ""google_maps_url"": ""https://www.google.com/maps/dir/21.1733139,105.2824387/21.339281,105.292801/data=!4m2!4m1!3e0"", ""crawl_timestamp"": ""2026-05-11T14:22:53"", ""current_url_after_load"": ""https://www.google.com/maps/dir/21.1733139,105.2824387/21.339281,105.292801/data=!4m2!4m1!3e0"", ""page_title"": ""Máy tính Minh Đức, 57FJ+9WG, ĐT317, La Phù, Thanh Thủy, Phú Thọ, Vietnam to CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG, Âu Cơ, Lâm Thao, Phú Thọ 35257, Vietnam - Google Maps"", ""route_panel_raw_text"": ""\nLeave now\n\nOptions\n\nSend directions to your phone\n\nCopy link\n\n36 min\n25.4 km\nvia CT02\nFastest route now due to traffic conditions\nDetails\nPreview\n\n36 min\n25.6 km\nvia ĐT317 and CT02\n\n36 min\n25.8 km\nvia CT02 and ĐT320\nExplore nearby CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG\n\nRestaurants\n\nHotels\n\nGas stations\n\nParking Lots\n\nMore\n\nNew! Continue your trip, tap the notification on your phone to get directions\n"", ""selected_route_index"": 0, ""selected_route_selector"": ""div.XdKEzd"", ""selected_route_raw_text"": ""36 min\n25.4 km"", ""parsed_distance_text"": ""25.4 km"", ""parsed_duration_text"": ""36 min"", ""parsed_distance_km"": 25.4, ""all_distance_texts"": [""25.4 km""], ""screenshot_path"": null, ""status_check"": ""OK""}]"
3592,3594,24200000,CN Hùng Vương,105.4212113,21.3044202,24832000,PGD Phong Châu,105.292801,21.339281,14.83268101772907,Phú Thọ,36,92,"26 min
17.6 km",17.6,26 min,part/output_part_36/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.4212113,21.3044202,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000,PHONG_CHAU_24832000,1,OK,16.6 km,16.6,23 min,"23 min
16.6 km",,"[{""attempt"": 1, ""origin_input"": ""21.3044202,105.4212113"", ""destination_input"": ""21.339281,105.292801"", ""google_maps_url"": ""https://www.google.com/maps/dir/21.3044202,105.4212113/21.339281,105.292801/data=!4m2!4m1!3e0"", ""crawl_timestamp"": ""2026-05-11T14:22:56"", ""current_url_after_load"": ""https://www.google.com/maps/dir/21.3044202,105.4212113/21.339281,105.292801/data=!4m2!4m1!3e0"", ""page_title"": ""806 Đ. Hùng Vương, Thanh Miếu, Phú Thọ, Vietnam to CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG, Âu Cơ, Lâm Thao, Phú Thọ 35257, Vietnam - Google Maps"", ""route_panel_raw_text"": ""\nLeave now\n\nOptions\n\nSend directions to your phone\n\nCopy link\n\n23 min\n16.6 km\nvia Tôn Đức Thắng\nFastest route, the usual traffic\nDetails\nPreview\n\n23 min\n16.5 km\nvia Đường Lạc Long Quân and Tôn Đức Thắng\n\n24 min\n16.5 km\nvia Đ. Lạc Long Quân and Tôn Đức Thắng\nExplore nearby CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG\n\nRestaurants\n\nHotels\n\nGas stations\n\nParking Lots\n\nMore\n\nNew! Continue your trip, tap the notification on your phone to get directions\n"", ""selected_route_index"": 0, ""selected_route_selector"": ""div.XdKEzd"", ""selected_route_raw_text"": ""23 min\n16.6 km"", ""parsed_distance_text"": ""16.6 km"", ""parsed_duration_text"": ""23 min"", ""parsed_distance_km"": 16.6, ""all_distance_texts"": [""16.6 km""], ""screenshot_path"": null, ""status_check"": ""OK""}]"
3636,3638,24231000,PGD Hoà Phong,105.3880818,21.3291221,24832000,PGD Phong Châu,105.292801,21.339281,10.82947144880261,Phú Thọ,37,36,"23 min
13.5 km",13.5,23 min,part/output_part_37/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.3880818,21.3291221,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000,PHONG_CHAU_24832000,1,OK,12.5 km,12.5,20 min,"20 min
12.5 km",,"[{""attempt"": 1, ""origin_input"": ""21.3291221,105.3880818"", ""destination_input"": ""21.339281,105.292801"", ""google_maps_url"": ""https://www.google.com/maps/dir/21.3291221,105.3880818/21.339281,105.292801/data=!4m2!4m1!3e0"", ""crawl_timestamp"": ""2026-05-11T14:22:59"", ""current_url_after_load"": ""https://www.google.com/maps/dir/21.3291221,105.3880818/21.339281,105.292801/data=!4m2!4m1!3e0"", ""page_title"": ""458 Đ. Nguyễn Tất Thành, Nông Trang, Phú Thọ, Vietnam to CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG, Âu Cơ, Lâm Thao, Phú Thọ 35257, Vietnam - Google Maps"", ""route_panel_raw_text"": ""\nLeave now\n\nOptions\n\nSend directions to your phone\n\nCopy link\n\n20 min\n12.5 km\nvia Đ. Nguyễn Tất Thành\nFastest route, the usual traffic\nDetails\nPreview\n\n20 min\n13.4 km\nvia Tôn Đức Thắng\n\n26 min\n17.1 km\nvia Chu Hóa\nExplore nearby CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG\n\nRestaurants\n\nHotels\n\nGas stations\n\nParking Lots\n\nMore\n\nNew! Continue your trip, tap the notification on your phone to get directions\n"", ""selected_route_index"": 0, ""selected_route_selector"": ""div.XdKEzd"", ""selected_route_raw_text"": ""20 min\n12.5 km"", ""parsed_distance_text"": ""12.5 km"", ""parsed_duration_text"": ""20 min"", ""parsed_distance_km"": 12.5, ""all_distance_texts"": [""12.5 km""], ""screenshot_path"": null, ""status_check"": ""OK""}]"
3679,3681,24232000,PGD Minh Phương,105.3759601,21.3314088,24832000,PGD Phong Châu,105.292801,21.339281,9.549012762986866,Phú Thọ,37,79,"21 min
13.0 km",13.0,21 min,part/output_part_37/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.3759601,21.3314088,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000,PHONG_CHAU_24832000,1,OK,12.0 km,12.0,17 min,"17 min
12.0 km",,"[{""attempt"": 1, ""origin_input"": ""21.3314088,105.3759601"", ""destination_input"": ""21.339281,105.292801"", ""google_maps_url"": ""https://www.google.com/maps/dir/21.3314088,105.3759601/21.339281,105.292801/data=!4m2!4m1!3e0"", ""crawl_timestamp"": ""2026-05-11T14:23:02"", ""current_url_after_load"": ""https://www.google.com/maps/dir/21.3314088,105.3759601/21.339281,105.292801/data=!4m2!4m1!3e0"", ""page_title"": ""2601 Hùng Vương, Nông Trang, Phú Thọ, Vietnam to CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG, Âu Cơ, Lâm Thao, Phú Thọ 35257, Vietnam - Google Maps"", ""route_panel_raw_text"": ""\nLeave now\n\nOptions\n\nSend directions to your phone\n\nCopy link\n\n17 min\n12.0 km\nvia Tôn Đức Thắng\nFastest route, the usual traffic\nDetails\nPreview\n\n19 min\n11.4 km\nvia Hùng Vương/QL2 and Đ. Nguyễn Tất Thành\n\n20 min\n12.1 km\nvia Đ. Nguyễn Tất Thành\nExplore nearby CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG\n\nRestaurants\n\nHotels\n\nGas stations\n\nParking Lots\n\nMore\n\nNew! Continue your trip, tap the notification on your phone to get directions\n"", ""selected_route_index"": 0, ""selected_route_selector"": ""div.XdKEzd"", ""selected_route_raw_text"": ""17 min\n12.0 km"", ""parsed_distance_text"": ""12.0 km"", ""parsed_duration_text"": ""17 min"", ""parsed_distance_km"": 12.0, ""all_distance_texts"": [""12.0 km""], ""screenshot_path"": null, ""status_check"": ""OK""}]"
3721,3723,24233000,PGD Bạch Hạc,105.437828,21.292337,24832000,PGD Phong Châu,105.292801,21.339281,16.90239966003324,Phú Thọ,38,21,22.7 km,22.7,33 min,part/output_part_38/ket_qua_tu_0_den_99.xlsx,original_output,recrawled_ok,105.437828,21.292337,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000,PHONG_CHAU_24832000,1,OK,21.7 km,21.7,31 min,"31 min
21.7 km",,"[{""attempt"": 1, ""origin_input"": ""21.292337,105.437828"", ""destination_input"": ""21.339281,105.292801"", ""google_maps_url"": ""https://www.google.com/maps/dir/21.292337,105.437828/21.339281,105.292801/data=!4m2!4m1!3e0"", ""crawl_timestamp"": ""2026-05-11T14:23:05"", ""current_url_after_load"": ""https://www.google.com/maps/dir/21.292337,105.437828/21.339281,105.292801/data=!4m2!4m1!3e0"", ""page_title"": ""219 Phố Phong Châu, Thanh Miếu, Phú Thọ, Vietnam to CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG, Âu Cơ, Lâm Thao, Phú Thọ 35257, Vietnam - Google Maps"", ""route_panel_raw_text"": ""\nLeave now\n\nOptions\n\nSend directions to your phone\n\nCopy link\n\n31 min\n21.7 km\nvia Tôn Đức Thắng\nFastest route, the usual traffic\nDetails\nPreview\n\n36 min\n21.9 km\nvia Đ. Nguyễn Tất Thành\n\n37 min\n26.1 km\nvia Đ. Trường Chinh\nExplore nearby CÔNG TY TNHH XD VÀ PCCC DẦU KHÍ THĂNG LONG\n\nRestaurants\n\nHotels\n\nGas stations\n\nParking Lots\n\nMore\n\nNew! Continue your trip, tap the notification on your phone to get directions\n"", ""selected_route_index"": 0, ""selected_route_selector"": ""div.XdKEzd"", ""selected_route_raw_text"": ""31 min\n21.7 km"", ""parsed_distance_text"": ""21.7 km"", ""parsed_duration_text"": ""31 min"", ""parsed_distance_km"": 21.7, ""all_distance_texts"": [""21.7 km""], ""screenshot_path"": null, ""status_check"": ""OK""}]"
