global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,old_kinh_do_1,old_vi_do_1,old_kinh_do_2,old_vi_do_2,coord_update_note
3307,3309,24000000,CN Phú Thọ,105.3895,21.317047,24832000,PGD Phong Châu,105.292801,21.339281,11.27864314629475,Phú Thọ,34,7,"23 min
14.3 km",14.3,23 min,part/output_part_34/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.3895,21.317047,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
3357,3359,24030000,PGD Trung tâm,105.3985889,21.3118194,24832000,PGD Phong Châu,105.292801,21.339281,12.34965817013081,Phú Thọ,34,57,"24 min
15.1 km",15.1,24 min,part/output_part_34/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.3985889,21.3118194,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
3406,3408,24032000,PGD Nông Trang,105.3712672,21.3371986,24832000,PGD Phong Châu,105.292801,21.339281,8.979259924538955,Phú Thọ,35,6,"21 min
11.5 km",11.5,21 min,part/output_part_35/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.3712672,21.3371986,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
3454,3456,24034000,PGD Việt Trì,105.405247,21.3413701,24832000,PGD Phong Châu,105.292801,21.339281,12.45750245975509,Phú Thọ,35,54,"27 min
15.5 km",15.5,27 min,part/output_part_35/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.405247,21.3413701,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
3501,3503,24037000,PGD Lâm Thao,105.2912916,21.3363021,24832000,PGD Phong Châu,105.292801,21.339281,1.232056687881576,Phú Thọ,36,1,"5 min
2.2 km",2.2,5 min,part/output_part_36/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.2912916,21.3363021,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
3547,3549,24039000,PGD Thanh Thuỷ,105.2824387,21.1733139,24832000,PGD Phong Châu,105.292801,21.339281,19.17462997290131,Phú Thọ,36,47,"38 min
26.3 km",26.3,38 min,part/output_part_36/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.2824387,21.1733139,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
3592,3594,24200000,CN Hùng Vương,105.4212113,21.3044202,24832000,PGD Phong Châu,105.292801,21.339281,14.83268101772907,Phú Thọ,36,92,"26 min
17.6 km",17.6,26 min,part/output_part_36/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.4212113,21.3044202,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
3636,3638,24231000,PGD Hoà Phong,105.3880818,21.3291221,24832000,PGD Phong Châu,105.292801,21.339281,10.82947144880261,Phú Thọ,37,36,"23 min
13.5 km",13.5,23 min,part/output_part_37/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.3880818,21.3291221,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
3679,3681,24232000,PGD Minh Phương,105.3759601,21.3314088,24832000,PGD Phong Châu,105.292801,21.339281,9.549012762986866,Phú Thọ,37,79,"21 min
13.0 km",13.0,21 min,part/output_part_37/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.3759601,21.3314088,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
3721,3723,24233000,PGD Bạch Hạc,105.437828,21.292337,24832000,PGD Phong Châu,105.292801,21.339281,16.90239966003324,Phú Thọ,38,21,22.7 km,22.7,33 min,part/output_part_38/ket_qua_tu_0_den_99.xlsx,original_output,recrawled_ok,105.437828,21.292337,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
